ReactionFile,LLM,Strategy,Parsed
gpt-5/few_shot/FamiliesToPersons_InsertedDaughter.reactions,gpt-5,few_shot,False
gpt-5/few_shot/NetworkToGraph_ComponentRenamed.reactions,gpt-5,few_shot,False
gpt-5/few_shot/NetworkToGraph_ComponentDeleted.reactions,gpt-5,few_shot,True
gpt-5/few_shot/AmaltheaToAscet_TaskCreated.reactions,gpt-5,few_shot,False
gpt-5/few_shot/FamiliesToPersons_DeletedFamily.reactions,gpt-5,few_shot,False
gpt-5/few_shot/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gpt-5,few_shot,True
gpt-5/few_shot/NetworkToGraph_CreateAndRegisterRoot.reactions,gpt-5,few_shot,True
gpt-5/few_shot/AmaltheaToAscet_TaskDeleted.reactions,gpt-5,few_shot,False
gpt-5/few_shot/FamiliesToPersons_CreatedFather.reactions,gpt-5,few_shot,False
gpt-5/few_shot/FamiliesToPersons_InsertedFamilyRegister.reactions,gpt-5,few_shot,True
gpt-5/few_shot/FamiliesToPersons_DeletedMember.reactions,gpt-5,few_shot,True
gpt-5/few_shot/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gpt-5,few_shot,False
gpt-5/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedDaughter.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentRenamed.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentDeleted.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskCreated.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedFamily.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/NetworkToGraph_CreateAndRegisterRoot.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskDeleted.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/FamiliesToPersons_CreatedFather.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedFamilyRegister.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
