Strategy,LLM1,SuccessRateLLM1,LLM2,SuccessRateLLM2,PairedN,a_both_false,b_llm1_true_llm2_false,c_llm1_false_llm2_true,d_both_true,ExactMcNemarP
few_shot,claude-sonnet-4,0.3333333333,gemini-2-5-pro,0.1666666667,12,8,2,0,2,0.5
few_shot,claude-sonnet-4,0.3333333333,gpt-5,0.25,12,8,1,0,3,1
few_shot,gemini-2-5-pro,0.1666666667,gpt-5,0.25,12,9,0,1,2,1
few_shots_AND_grammar,claude-sonnet-4,0.3333333333,gemini-2-5-pro,0.25,12,8,1,0,3,1
few_shots_AND_grammar,claude-sonnet-4,0.3333333333,gpt-5,0.3333333333,12,8,0,0,4,1
few_shots_AND_grammar,gemini-2-5-pro,0.25,gpt-5,0.3333333333,12,8,0,1,3,1
few_shots_AND_grammar_AND_helper,claude-sonnet-4,0.3333333333,gemini-2-5-pro,0.25,12,8,1,0,3,1
few_shots_AND_grammar_AND_helper,claude-sonnet-4,0.3333333333,gpt-5,0.3333333333,12,8,0,0,4,1
few_shots_AND_grammar_AND_helper,gemini-2-5-pro,0.25,gpt-5,0.3333333333,12,8,0,1,3,1
grammar,claude-sonnet-4,0.0,gemini-2-5-pro,0.0,12,12,0,0,0,1
grammar,claude-sonnet-4,0.0,gpt-5,0.0,12,12,0,0,0,1
grammar,gemini-2-5-pro,0.0,gpt-5,0.0,12,12,0,0,0,1
only_prompt,claude-sonnet-4,0.0,gemini-2-5-pro,0.0,12,12,0,0,0,1
only_prompt,claude-sonnet-4,0.0,gpt-5,0.0,12,12,0,0,0,1
only_prompt,gemini-2-5-pro,0.0,gpt-5,0.0,12,12,0,0,0,1
