Strategy,LLM1,LLM2,PairedN,MeanLLM1,MeanLLM2,MedianLLM1,MedianLLM2,WilcoxonP_TwoSided
few_shot,claude-sonnet-4,gemini-2-5-pro,12,0.0288915437311,0.0335436210586,0,0.0378681626928,0.56640625
few_shot,claude-sonnet-4,gpt-5,12,0.0288915437311,0.0651528227398,0,0.047149122807,0.03125
few_shot,gemini-2-5-pro,gpt-5,12,0.0335436210586,0.0651528227398,0.0378681626928,0.047149122807,0.2890625
few_shots_AND_grammar,claude-sonnet-4,gemini-2-5-pro,12,0.0159214092141,0.0437209966445,0,0,0.0625
few_shots_AND_grammar,claude-sonnet-4,gpt-5,12,0.0159214092141,0.0342004703116,0,0,0.25
few_shots_AND_grammar,gemini-2-5-pro,gpt-5,12,0.0437209966445,0.0342004703116,0,0,0.75
few_shots_AND_grammar_AND_helper,claude-sonnet-4,gemini-2-5-pro,12,0.0160256410256,0.0546420212489,0,0.0166666666667,0.03125
few_shots_AND_grammar_AND_helper,claude-sonnet-4,gpt-5,12,0.0160256410256,0.0144927536232,0,0,1
few_shots_AND_grammar_AND_helper,gemini-2-5-pro,gpt-5,12,0.0546420212489,0.0144927536232,0.0166666666667,0,0.03125
grammar,claude-sonnet-4,gemini-2-5-pro,12,0.0360309741746,0.00833333333333,0,0,0.5
grammar,claude-sonnet-4,gpt-5,12,0.0360309741746,0.0768631651599,0,0.0501253132832,0.0302734375
grammar,gemini-2-5-pro,gpt-5,12,0.00833333333333,0.0768631651599,0,0.0501253132832,0.00927734375
only_prompt,claude-sonnet-4,gemini-2-5-pro,12,0.0426572640714,0.0561523915684,0.0477272727273,0.0513157894737,0.09228515625
only_prompt,claude-sonnet-4,gpt-5,12,0.0426572640714,0.0395943998467,0.0477272727273,0.0378571428571,0.33935546875
only_prompt,gemini-2-5-pro,gpt-5,12,0.0561523915684,0.0395943998467,0.0513157894737,0.0378571428571,0.0703125
