Strategy,LLM1,LLM2,PairedN,MeanLLM1,MeanLLM2,MedianLLM1,MedianLLM2,WilcoxonP_TwoSided
few_shot,claude-sonnet-4,gemini-2-5-pro,12,88.4574495951,85.1962750753,92.3064460754,88.3276519775,0.00048828125
few_shot,claude-sonnet-4,gpt-5,12,88.4574495951,86.9384384155,92.3064460754,90.1261024475,0.2177734375
few_shot,gemini-2-5-pro,gpt-5,12,85.1962750753,86.9384384155,88.3276519775,90.1261024475,0.1630859375
few_shots_AND_grammar,claude-sonnet-4,gemini-2-5-pro,12,86.6077295939,87.8554808299,89.7514762878,90.5011138916,0.357421875
few_shots_AND_grammar,claude-sonnet-4,gpt-5,12,86.6077295939,85.650285085,89.7514762878,89.7236328125,0.30126953125
few_shots_AND_grammar,gemini-2-5-pro,gpt-5,12,87.8554808299,85.650285085,90.5011138916,89.7236328125,0.0078125
few_shots_AND_grammar_AND_helper,claude-sonnet-4,gemini-2-5-pro,12,86.9422982534,87.0245056152,89.8601951599,89.4648742676,0.939453125
few_shots_AND_grammar_AND_helper,claude-sonnet-4,gpt-5,12,86.9422982534,86.4000867208,89.8601951599,89.5918426514,0.8203125
few_shots_AND_grammar_AND_helper,gemini-2-5-pro,gpt-5,12,87.0245056152,86.4000867208,89.4648742676,89.5918426514,0.67578125
grammar,claude-sonnet-4,gemini-2-5-pro,12,84.9876772563,78.4624532064,89.0964775085,77.7354125977,0.00341796875
grammar,claude-sonnet-4,gpt-5,12,84.9876772563,80.1687679291,89.0964775085,84.2266693115,0.09228515625
grammar,gemini-2-5-pro,gpt-5,12,78.4624532064,80.1687679291,77.7354125977,84.2266693115,0.1513671875
only_prompt,claude-sonnet-4,gemini-2-5-pro,12,78.1184527079,60.1238085429,79.6527786255,61.1849269867,0.00048828125
only_prompt,claude-sonnet-4,gpt-5,12,78.1184527079,62.1595389048,79.6527786255,61.4782867432,0.00048828125
only_prompt,gemini-2-5-pro,gpt-5,12,60.1238085429,62.1595389048,61.1849269867,61.4782867432,0.38037109375
